GEOID,variable,median_income,moe
11001010201,B19013_001,100194,10829
11001010202,B19013_001,120389,33830
11001010300,B19013_001,112778,40979
11001010400,B19013_001,93312,28493
11001010500,B19013_001,107414,30561
11001010601,B19013_001,120115,22208
11001010602,B19013_001,175687,21551
11001010603,B19013_001,109103,26732
11001010700,B19013_001,101786,21155
11001010800,B19013_001,35983,5631
11001010900,B19013_001,36156,12343
11001011001,B19013_001,135179,43612
11001011002,B19013_001,102371,19932
11001011100,B19013_001,85913,46630
